"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"347",12,28,10769,NA,NA,NA,NA,NA,NA,NA,NA
"348",18,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349",18,35,10749,NA,NA,NA,NA,NA,NA,NA,NA
"350",12,16,28,NA,NA,NA,NA,NA,NA,NA,NA
"351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357",28,12,10752,36,NA,NA,NA,NA,NA,NA,NA
"358",10749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359",10749,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360",28,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362",18,28,35,80,NA,NA,NA,NA,NA,NA,NA
"363",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365",35,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366",18,10749,10769,NA,NA,NA,NA,NA,NA,NA,NA
"367",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368",53,27,14,NA,NA,NA,NA,NA,NA,NA,NA
"369",80,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"371",18,10402,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376",18,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381",35,10752,36,NA,NA,NA,NA,NA,NA,NA,NA
"382",18,14,27,53,9648,NA,NA,NA,NA,NA,NA
"383",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387",28,18,36,NA,NA,NA,NA,NA,NA,NA,NA
"388",18,35,10749,NA,NA,NA,NA,NA,NA,NA,NA
"389",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390",18,53,80,NA,NA,NA,NA,NA,NA,NA,NA
"391",12,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"392",10749,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393",18,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394",35,80,18,NA,NA,NA,NA,NA,NA,NA,NA
"395",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396",16,10751,14,10749,NA,NA,NA,NA,NA,NA,NA
"397",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"398",18,27,878,53,NA,NA,NA,NA,NA,NA,NA
"399",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400",80,18,9648,53,NA,NA,NA,NA,NA,NA,NA
"401",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402",35,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403",10770,18,10752,NA,NA,NA,NA,NA,NA,NA,NA
"404",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406",18,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407",18,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408",35,18,14,NA,NA,NA,NA,NA,NA,NA,NA
