"","title","movie_id","Action","Adventure","Animation","Comedy","Crime","Documentary","Drama","Family","Fantasy","Foreign","History","Horror","Music","Mystery","Romance","Science Fiction","Thriller","TV Movie","War","Western"
"8706","Falcon Rising",8706,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8707","RISE",8707,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"8708","Kitchen in Paris",8708,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8709","Lingering Spirits",8709,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8710","Lennon or McCartney",8710,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"8711","Alien Abduction",8711,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"8712","Vengeance of an Assassin",8712,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"8713","The Better Angels",8713,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"8714","Behaving Badly",8714,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8715","Tutta colpa di Freud",8715,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8716","The Longest Week",8716,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8717","Flying Home",8717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"8718","The Truth About Webcam Girls",8718,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8719","Kenau",8719,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"8720","Fort Bliss",8720,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"8721","Midnight Sun",8721,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"8722","The Man Who Saved the World",8722,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8723","Manpower",8723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8724","Scintilla",8724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"8725","The Ignorance of Blood",8725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8726","Deepsea Challenge 3D",8726,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8727","Mercy",8727,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"8728","Boys",8728,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8729","The Opposite Sex",8729,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8730","The Pirates",8730,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"8731","Halam Geldi",8731,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8732","4 Minute Mile",8732,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8733","Sex, Coffee, Cigarettes",8733,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8734","Fiston",8734,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8735","The Tunnel",8735,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"8736","Almost Home",8736,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"8737","Bachelor Night",8737,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8738","Cowspiracy: The Sustainability Secret",8738,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8739","Premature",8739,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8740","Messi",8740,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8741","I Can Quit Whenever I Want",8741,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8742","Saloma (Part 1)",8742,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"8743","Not My Day",8743,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8744","Les Gazelles",8744,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8745","Un boss in salotto",8745,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8746","Kid Cannabis",8746,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8747","Stereo",8747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"8748","Plastic",8748,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8749","Vasilisa",8749,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"8750","Age of Ice",8750,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"8751","Survivor",8751,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"8752","The Look of Silence",8752,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8753","Spanish Affair",8753,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"8754","Iron Man & Captain America: Heroes United",8754,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8755","Beloved Sisters",8755,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"8756","Northpole",8756,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"8757","See No Evil 2",8757,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"8758","Viktoria: A Tale of Grace and Greed",8758,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8759","Gods",8759,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8760","4 Moons",8760,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8761","The Hero of Color City",8761,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8762","A Pigeon Sat on a Branch Reflecting on Existence",8762,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8763","Speed Walking",8763,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8764","Altman",8764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8765","Exists",8765,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"8766","Unutursam Fısılda",8766,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"8767","Dancing Arabs",8767,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8768","Hidden Away",8768,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"8769","Stand Up, Strip Down",8769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"8770","Run Like Hell",8770,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"8771","The Treatment",8771,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"8772","In My Dreams",8772,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"8773","The Extreme Fox",8773,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"8774","Dakota's Summer",8774,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"8775","Likes or Dislikes",8775,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"8776","Nude Area",8776,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"8777","Pretty Cure All Stars New Stage 3: Eternal Friends",8777,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8778","Jerrod Carmichael: Love at the Store",8778,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"8779","No Thanks",8779,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
