,Unnamed: 0,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,release_year,release_decade
1141,1,False,/r3MhvwPC8zFBAv8HL5WBtl3F8cn.jpg,"[28, 12, 18, 878]",9355,en,Mad Max Beyond Thunderdome,"Mad Max becomes a pawn in a decadent oasis of a technological society, and when exiled, becomes the deliverer of a colony of children.",3.162717,/9ciqnBU2YlMtMrqNwRzhmaMeL9l.jpg,1985-06-29,Mad Max Beyond Thunderdome,False,5.9,563,1985,1980
1142,2,False,/pVlZBKp8v3Jzd0ahPmrBGlbeQ2s.jpg,"[35, 878]",68,en,Brazil,"Brazil is a Terry Gilliam dystopic black comedy film that reflects the melancholy, dreamlike quality of a famous Brazilian song that’s been translated into English. The film parodies the mostly dysfunctional bureaucratic world we live in and takes us to a post-apocalyptic world in the future yet with our present day attitudes in mind.",2.816993,/55Vfc1beLn3pJF4Lw83TRKHenK6.jpg,1985-02-20,Brazil,False,7.5,666,1985,1980
1143,3,False,/aGLdPN9aF8o2b4P8tuKUwLCHFFG.jpg,"[878, 35, 27]",1694,en,Re-Animator,A dedicated student at a medical college and his girlfriend become involved in bizarre experiments centering around the re-animation of dead tissue when an odd new student arrives on campus.,1.938936,/hJnP2O0uTuh8HsR094WLTi3sQwc.jpg,1985-10-18,Re-Animator,False,7.1,206,1985,1980
1144,4,False,/nK0QROkoviRd99kcRHEdxfID4TI.jpg,"[27, 878]",8408,en,Day of the Dead,"The final chapter of George A. Romero's ""Dead Trilogy"". In an underground government installation they are searching for a cure to overcome this strange transformation into zombies. Unfortunately, the zombies from above ground have made their way into the bunker.",1.890693,/6jBjFrZ6yGgp4hJgE5HpTi0GgM2.jpg,1985-07-19,Day of the Dead,False,6.9,208,1985,1980
1145,5,False,/5kEmDo78FHMJNPINxcUkPTspmjQ.jpg,"[18, 878]",11864,en,Enemy Mine,"A soldier from Earth crashlands on an alien world after sustaining battle damage. Eventually he encounters another survivor, but from the enemy species he was fighting; they band together to survive on this hostile world. In the end the human finds himself caring for his enemy in a completely unexpected way.",1.823127,/hKsZY8jHagbiTtvq8mwHV36a9ki.jpg,1985-12-12,Enemy Mine,False,6.7,196,1985,1980
1146,6,False,/k6UMKqeJ4v749zvQaz2UBDjTNv.jpg,"[35, 18, 878]",10328,en,Cocoon,"A group of aliens return to earth to take back some cocoons of their people they left behind from an earlier trip. They kept the recovered cocoons in the swimming pool of a house they rented in a small Florida town. Their mission is hampered by a number of old people from an elderly home nearby, who have been secretly using the pool and discovering the unusual power of these cocoons.",1.792999,/foIhEPQoqDctfwsHmmYwbNz5A2g.jpg,1985-06-21,Cocoon,False,6.4,235,1985,1980
1147,7,False,/wWyxPCiH9ntqhuqzVmRR2qTDPQC.jpg,"[18, 878, 53]",10176,en,The Quiet Earth,"After a top-secret experiment misfires, a scientist may be the only man left alive in the world.",1.635071,/61OEjyXUPpHZ8aEc9avfBKimLJ9.jpg,1985-09-08,The Quiet Earth,False,6.7,128,1985,1980
1148,8,False,/faDpeQUK2afV0qQ3TfT6fuIg2UK.jpg,"[28, 878, 53, 27, 14]",11954,en,Lifeforce,A space shuttle mission investigating Halley's Comet brings back a malevolent race of space vampires who transform most of London's population into zombies. The only survivor of the expedition and British authorities attempt to capture a mysterious but beautiful alien woman who appears responsible.,1.631049,/vyNbHbsOLY3BXxn02I0ciwAntg7.jpg,1985-06-20,Lifeforce,False,6.1,112,1985,1980
1149,9,False,/nLfxSTbLIlVeNATk9Ykn9SMcNjY.jpg,"[27, 35, 878]",18502,en,The Stuff,"Weird yummy goo erupts from the earth and is discovered by a couple of miners. They taste it and decide to market it because it tastes so good. The American public literally eats up the new dessert sensation now known as the Stuff but, unfortunately, it takes over the brains of those who eat it, turning them into zombie-like creatures. It is up to ex-FBI agent David Rutherford and a kid named Jason to stop the spread of the mind-devouring dessert.",1.534392,/n18VCF6QdiQHOxD0ABOq0Vg80Pc.jpg,1985-06-14,The Stuff,False,6.0,72,1985,1980
1150,10,False,/cJ6fdIpGDEdhjaWPAS1pR0GUoSV.jpg,"[12, 14, 878, 10751]",13155,en,Return to Oz,"Dorothy, saved from a psychiatric experiment by a mysterious girl, finds herself back in the land of her dreams, and makes delightful new friends, and dangerous new enemies.",1.523426,/awQpBhnxmbDK7br3RqajtNATrUL.jpg,1985-06-21,Return to Oz,False,6.5,87,1985,1980
1151,11,False,/muzbs6VImwFwWwD2wXJnFFtAO8j.jpg,"[12, 10751, 14, 878, 10770]",10372,en,Ewoks: The Battle for Endor,"The army of the Marauders, led by by King Terak and the witch Charal attack the Ewoks village. The parents and the brother of Cindel all die in this attack. Cindel and the Ewok Wicket escape and in a forrest they meet Teek a naughty and very fast animal. Teek takes them to a house in which a old man, Noa, lives. Like Cindel he also crashed with his Starcruiser on Endor. Together they fight Terak and Charal.",1.443311,/qmK6nRnyF2uMX0JzoNByfchyl2L.jpg,1985-11-24,Ewoks: The Battle for Endor,False,5.3,34,1985,1980
1152,12,False,/lDdZcFq33DVTS2tsf7v2XqEbnwG.jpg,"[878, 16, 14, 27, 18, 9648]",15916,ja,天使のたまご,"A mysterious young girl wanders a desolate, otherworldly landscape, carrying a large egg.",1.395682,/nKyNZQ8mEZukA3NRfpzpLqked5t.jpg,1985-12-22,Angel's Egg,False,7.4,34,1985,1980
1153,13,False,/6pq29IekTtBf6oYE81RrWgi3QRA.jpg,"[10751, 14, 12, 878, 35]",13764,en,Santa Claus: The Movie,"The first half of this film, set hundreds of years ago, shows how the old man who eventually became Santa Claus was given immortality and chosen to deliver toys to all the children of the world. The second half moves into the modern era, in which Patch, the head elf, strikes out on his own and falls in with an evil toy manufacturer who wants to corner the market and eliminate Santa Claus.",1.333762,/eYQ4c6NhU59YGRsH6kp1oKZHhNt.jpg,1985-10-29,Santa Claus: The Movie,False,5.9,49,1985,1980
1154,14,False,/pvCL9pM86h2WWQZU1WwEGhd4AvI.jpg,"[12, 10751, 14, 10749, 878]",9872,en,Explorers,"The visionary dreams of three curious and adventuresome young boys become an exciting reality in Explorers, the action-fantasy from director Joe Dante, who combines keen humor, warmth and fantasy with unexpected twists. In their makeshift laboratory, the boys use an amazing discovery and their ingenuity to build their own spaceship and launch themselves on a fantastic interplanetary journey.",1.324903,/bvvZKGyD30S4smjRVqikGe8ICFa.jpg,1985-07-12,Explorers,False,6.1,87,1985,1980
1155,15,False,/pEFXXs08VygfpR3zuHMtY1zkFa9.jpg,"[10751, 878]",16248,en,D.A.R.Y.L.,"Daryl is a normal 10-year-old boy in many ways. However, unbeknown to his foster parents and friends, Daryl is actually a government-created robot with superhuman reflexes and mental abilities. Even his name has a hidden meaning -- it's actually an acronym for Data Analyzing Robot Youth Life-form. When the organization that created him deems the ""super soldier"" experiment a failure and schedules Daryl to be disassembled, it is up to a few rogue scientists to help him escape.",1.295961,/1YOIpiT5crUtdzruseCHTCPj5rg.jpg,1985-06-14,D.A.R.Y.L.,False,6.1,69,1985,1980
