,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
7,False,/bBhYQFLPnVnH9ZesGxzTeJHVEXy.jpg,"[27, 878]",42477,en,Brain of Blood,"Amir, the benevolent ruler of Kalid, is dying, but there is hope. Freshly deceased, he is flown to the United States where Dr. Trenton transplants his brain into the body of a simpleton in a classic ""assistant got the wrong kind of body"" plot line. Dr. Trenton has a few nefarious plot twists of his own in mind, and then there's the thing with the dwarf and the women chained in the basement. It's up to Amir's friend Bob and wife Tracey to try and salvage this tale.",1.00054,/uFu2R2VYy9gdgBn8iM2e9lyFNVP.jpg,1971-08-01,Brain of Blood,False,1.0,1
8,False,/lgbfqZCIIRnrwuKjnbfAiLnmDOK.jpg,"[27, 878]",42523,en,La Invasión Siniestra,"In the late 1800's, Boris Karloff has discovered a way to use nuclear power. He creates a beam weapon and blows up a big rock. Outer space aliens are scared and one alien who looks a lot like James Cameron with a big fake nose only this one isn't fake lands and brings other aliens who take over the bodies of Karloff and his assistant. The assistant is a Jack the Ripper style killer who has done a few nasty murders which have riled the townsfolk. The body-snatched bodies become radioactive and start killing flowers and other stuff (but don't die themselves) and some stuff happens and in the end Karloff destroys the beam weapon equipment (and his lab and house), then the aliens leave and warn us that if anyone ever does it again there will be trouble.",1.000351,/vbMg8y9tNr7ua8x724pSaLKKtfS.jpg,1971-01-01,Alien Terror,False,3.8,2
9,False,,"[12, 878]",42494,en,Glen and Randa,"Teenagers Glen and Randa are members of a tribe that lives in a rural area, several decades after nuclear war has devastated the planet. They know nothing of the outside world, except that Glen has read about and seen pictures of a great city in some old comic books. He and Randa set out to find this city.",1.000342,/kU6sEaFbFzbseyPc84tWADZlTe2.jpg,1971-09-19,Glen and Randa,False,4.7,3
10,False,/imBDjBVAO3ouJAD4FX4CH7XYEBl.jpg,"[878, 35]",160170,cs,"Pane, vy jste vdova!","After a soldier cuts off the arm of king's cousin, king decides to deactivate the army. Of course, generals don't like it at all and they try to kill the king. The assassin should be artificial body in the shape of actress Evelina Keleti and with brain of psychotic serial killer Fany Stubová. They also manage to kill king's astrologer Stuart Hampl, who warns the king. Accidentally, Hampl's brain is implanted into assassin's body, actress Keleti is killed and chaos begins.",1.000243,/qjBozRu1ZpQFMXbrQ7PsnjHJav4.jpg,1971-01-15,"You Are a Widow, Sir",False,8.0,2
11,False,,"[878, 18, 9648]",315379,en,Paper Man,A prank that starts with a group of college students creating a fictitious person so they can get a credit card develops into a plot that leaves three of them dead.,1.000215,/6ktu5iKc24T5UkTkzJxwOfx3IYQ.jpg,1971-11-12,Paper Man,False,6.0,1
12,False,/nP2zeh51LkRZWA0lcYT5jQPFos2.jpg,"[27, 878]",81479,en,The Toy Box,"When Ralph persuades his girlfriend, Donna, to participate in a bizarre party, she discovers the guests are to perform erotic plays in the presence of a corpse - Ralph's millionaire uncle. The players are promised gifts from the ""toy box."" Ralph and Donna await their turn, when the mansion's doors lock at midnight; and it's not long before they discover the players are being murdered by...the dead uncle?",1.00021,/KIwG7a7KK2vNuJp3Lh5eV04dNX.jpg,1971-10-27,The Toy Box,False,4.6,5
13,False,/izkyyg4TlwlvTjVXbwt0ejB25MO.jpg,"[28, 10769, 27, 878]",55732,es,Santo en la venganza de la momia,"When Santo accompanies a troupe of archaeologists in the search for Aztec artifacts, they find the Mummy of an Aztec who leaves a warning to those who tamper with his resting place. The adventurers ignore the warning, and before long, the Mummy starts bumping them off one-by-one with his bow &amp; arrow.",1.000113,/1F54dCXRF9lyaCYy7K8ov3sWC3D.jpg,1971-12-09,Santo and the Vengeance of the Mummy,False,5.2,3
14,False,/7W3CfN6KKMAnImxoL5n3LgTKbNL.jpg,"[12, 27, 878]",102443,en,Creatures the World Forgot,"As the first nomadic tribes wander across the vast wilderness of the infant planet they confront hostilities created by the harsh environment and each other. After a massive volcanic eruption a tribal chief is killed and his two sons fight for supremacy, not only for the leadership of the tribe but also for the love of a beautiful young woman. The age-old battlegrounds of rivalry, envy and passion are explored in this tale of prehistoric adventure.",1.000098,/uk5qaK9jL2dxQ7xp9wtm6mPRKzM.jpg,1971-09-01,Creatures the World Forgot,False,4.5,4
15,False,/h8Rav7KJpEd2aWl6hwWjOZaafjz.jpg,"[27, 878]",229357,th,มันมากับความมืด,"A mysterious object falls in the sea and two Bangkok scientists travel to the South of Thailand to investigate. There, an alien creature is killing villagers at night. This is believed to be Thailand's first Science Fiction film.",1.000078,/cY9vmmDng3X584A6JOWefDzdwc6.jpg,1971-01-01,Out of the Darkness,False,0.0,0
16,False,/8ClLAJOxtcN6SxwxHh5kM7CU0el.jpg,"[12, 878, 10751]",231230,pt,Aventuras com Tio Maneco,Three boys and their uncle venture into the Amazon jungle in search of their missing grandfather who's been kidnapped by evil space robots!,1.000052,/8t5yO8i9Q2rjcFfYrMPWGot2CsU.jpg,1971-01-01,Adventures with Uncle Manuelo,False,0.0,0
